"release_date","popularity","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","listener_0","listener_1"
50,23,0,678,928,11,-5,0,190,2,400,146,182,126,194,4,0,1
49,64,0,826,455,0,-9,1,92,3,33,679,264,130,198,4,0,1
41,46,0,734,611,1,-5,1,153,38,0,127,890,96,184,4,0,1
52,65,0,770,701,11,-10,1,148,9,790,49,522,124,229,4,0,1
55,94,1,853,666,11,-5,0,448,7,0,110,321,162,268,4,0,1
48,83,0,763,549,1,-8,0,260,630,0,182,362,100,218,4,0,1
50,46,0,731,333,5,-15,1,399,905,0,31,592,78,163,4,0,1
54,37,0,643,533,8,-13,1,304,88,590,118,468,145,113,4,0,1
54,74,1,715,757,1,-6,1,63,1,9,417,255,125,259,4,0,1
45,92,0,524,701,3,-3,1,66,193,0,291,431,90,178,4,0,1
41,56,0,732,684,6,-8,0,64,57,17,122,626,122,270,4,0,1
49,93,0,633,817,0,-5,1,85,7,139,144,296,168,187,4,0,1
54,24,0,702,944,0,-6,1,103,6,36,79,508,150,170,4,0,1
47,50,0,773,794,6,-4,0,78,3,4,86,755,122,163,4,0,1
49,52,0,803,946,3,-6,0,70,5,53,307,730,130,194,4,0,1
41,35,0,783,551,5,-7,1,50,374,0,98,989,94,249,4,0,1
53,35,0,748,883,5,-9,1,94,39,911,106,351,148,363,4,0,1
